Creator,Creator_WikidataID
!Mediengruppe Bitnik,NA
3D Realms,Q229459
5 Lives Studios,Q33198438
50 Cent,Q6060
A-1 Pictures,Q277763
Aaron Guzikowski,Q302063
Activision,Q200491
Adam B. Stein,NA
Adam Harvey,Q96417562
Addie Wagenknecht,Q23417143
AFK,Q51281415
Agnieszka Kurant,Q19267078
Alan Walker,Q21808729
Aldous Huxley,NA
Aleksa Gajic,Q782458
Alessandro Ludovico,NA
Alex Rivera,Q4717691
Alexandr Kessel,NA
Alexandra Olivia,NA
Alexandra Saemmer,Q111320106
Alfonso Cuarón,Q28028
Alice & Smith,Q104869991
Amir Bastan,NA
Amy Alexander,Q4749066
Anaisa Franco,NA
Andrés Burbano,NA
Andrew Benson,Q4756330
Andrew Niccol,Q360737
Andri Snær Magnason,Q463575
Ann Leckie,Q16204354
Anna Mill,NA
Anna Ridler,Q94415599
Annalee Newitz,Q4767817
Anne Bjørnstad,Q19310220
Anonymous,NA
Anthony & Joseph Russo,NA
Arcangel Constantini,Q19560575
Arkady Martine,Q58640138
Arne Garborg,Q467497
Ars Electronica Futurelab (AT),NA
Arthur Charles Clarke,NA
Ashton Kutcher,Q164782
Asia Bazdyrieva,NA
Audrey Fouché,Q2870844
Audrey Samson,NA
Ayodamola Tanimowo Okunseinde,NA
b wijshijer,NA
Barbara Nordhjem,NA
Becky Chambers,Q25298820
Ben Chang,NA
Ben Falcone,Q2082056
Bengt Sjölén,NA
Benjamin Maus,Q83808309
Benjanun Sriduangkaew,Q17465706
Bernardo Fontes,NA
Bernhard Hopfengärnter,NA
BioWare,Q219758
Bjarne Benjaminsen,Q88536422
Bjørn Erik Haugen,NA
Bjørn Vatne,Q54197034
Blizzard Entertainment,Q178824
Bloober Team,Q389526
Bob Mould,Q888152
Bob Persichetti,Q60784779
Brad Bird,NA
Bruno Moreschi,NA
Bruno Vianna,Q8252886
Bryan Singer,Q220751
Bungie Studios,NA
Bureau of Inverse Technology (BIT),NA
Camouflaj,Q98411159
Casino,NA
CD Projekt RED,Q1172164
Cesar Baio,NA
Chance Agency,NA
Charlie Brooker,Q2960837
Chelsea E. Manning,NA
Chen Qiufan,Q8941041
Chris Hales,NA
Chris Williams,NA
Christa Sommerer,Q54564966
Christian Moeller,Q5109933
Claire G. Coleman,Q56754653
Clement Valla,NA
Clifftop Games,NA
Coburn Tyler,NA
Constant Dullaart,Q19665830
Cory Doctorow,Q110436
Cosmic Logic,NA
Cristina Cochior,NA
Croteam,Q2340010
Ctrl Shift Face,NA
Daedalic Entertainment,Q1157042
Daito Manabe,Q21008480
Damian Kindler,Q374850
Dan Goor,NA
Daniel Goldhaber,Q102478968
Daniel Iregui,NA
Daniel Lazo,NA
Daniel Suarez,Q1162833
Dave Eggers,NA
David Cronenberg,Q55422
David E. Kelly,NA
David Feliu,NA
David Leitch,Q5236475
David Rokeby,Q5239175
David Wiener,NA
Dejan Marković,NA
Denis Villeneuve,Q548823
Devin the Dude,Q1206920
Diederik P. Kingma,Q29022624
Digital Pictures,Q4037348
Dilman Dila,NA
Disney,NA
Dmitry Strakovsky,NA
Don Broco,NA
Don Hall,Q18921842
Don't Look Team,NA
Dong-hyuk Hwang,NA
Dontnod Entertainment,NA
Doug Liman,Q349339
Doug Rosman,NA
Douglas Coupland,Q322060
Dracola112,NA
Dziga Vertov,Q55193
Eduardo Kac,Q331376
Edward Morgan Forster,NA
Eidos Montréal,NA
Eran May-Raz,NA
Eran Weissenstern,NA
Estudio Biopus,NA
Etsuko Ichihara,NA
Everest Pipkin,Q16734565
Factory Fifteen,NA
Faith Holland,Q28935792
Feileacan McCormick,NA
Fernando Velazquez,NA
Fictiorama Studios,NA
Forensic Architecture,NA
Fran Krause,NA
Francisco Gallardo,NA
Francisco Laresgoiti,NA
FRAUD,NA
Freebird Games,NA
Freeda Beast,NA
Fullbright,Q17561297
Funcom,Q918638
Gabriel Pereira,NA
Gan Golan,NA
Gareth Edwards,Q2451678
Gary Ross,NA
Gearbox Software,Q1046593
Gene Stupnitsky,Q5531483
George Clooney,Q23844
George Orwell,Q3335
Georgie Pinn,NA
Giacomo Cimini,Q5557873
Giles Price,NA
Gojira,NA
GoodbyeWorld Games,Q106474348
Graziele Lautenschlaeger,NA
Greg Daniels,Q1544904
Greg Tiernan,Q26702453
group inou,NA
GRUPO DE PESQUISA REALIDADES,NA
Guerrilla Games,Q337910
Guided by Voices,NA
Guilherme Falcão,NA
Hanbin Deng,NA
Harshit Agrawal,NA
Harun Farocki,Q67547
Hasse Hope,Q11974407
Hatem Khraiche,Q51892574
hdoto,NA
Heather Dewey-Hagborg,Q16728530
Helena Nikonole,NA
Hermen Maat,NA
Hideaki Anno,Q23261
Hito Steyerl,Q98366
Huang Mingyuan,NA
Hugh Howey,Q5931173
Huyn Parke,NA
Hyphen-Labs,NA
Ian McEwan,Q190379
iia,NA
Ilya Naishuller,Q23867507
Imanbek Zeikenov,NA
Incubus,NA
Infinity Ward,Q731482
Ingrid Michaelson,Q242873
Introversion Software,Q1671616
IOCOSE,NA
Iris Long,Q17183811
Isabella Salas,NA
Ivo Caprino,Q2712084
Iyo Bisseck,NA
Jack Thorne,Q6115483
Jake Elwes,Q110822600
Jake Paltrow,Q727938
Jakob Kudsk Steensen,NA
James Bridle,Q20683898
James Cameron,NA
James Cameron,Q42574
James Gunn,Q715505
James Mangold,Q433893
James Ponsoldt,Q1680997
James S.A. Corey,NA
Jan Klug,NA
Jan Nikolai Nelles,NA
Janelle Monáe,Q234356
Jannik Tai Mosholt,Q33157949
Jason Rohrer,Q92678
Jay Chow,NA
Jeff Orlowski,Q6174634
Jeff Rowe,NA
Jeffrey Jacob Abrams,NA
Jeffrey Nachmanoff,Q3176718
Jen Hickman,NA
Jeremy Bailey,Q96684990
Jian Liu,NA
Jin Ni,NA
Jing-cai Liu,Q104558036
Jinoon Choi,NA
Jip van Leeuwenstein,NA
Joanna Moll,NA
Joaquin Fargas,Q23907082
Jogi Hofmüller,NA
Johannes Braumann,NA
John Carpenter,Q95008
John Glen,Q545216
John Hamburg,Q167683
John Mayer,Q215215
John Scalzi,Q277308
Jon Favreau,Q295964
Jon Watts,Q18519749
Jonas Ersland,NA
Jonas Lund,Q26704214
Joseph Kosinski,Q2444076
Josh Fox,NA
Joss Whedon,Q298025
Joy Buolamwini,Q31359093
Jukka Hautamäki,Q16298648
Julia von Lucadou,Q57591655
Julian Oliver,NA
Juliana De Lucca,NA
Julien Terrell,NA
Jump Over the Age,NA
Justin Roiland,Q6318075
KairUs,NA
Kamitani Lab,NA
Karen Lancel,Q101208459
Kate Crawford,NA
Kate Pullinger,Q6375726
Katia Vega,NA
Katja Novitskova,Q19667905
Kazuo Ishiguro,Q272855
Keiichi Matsuda,NA
Ken Goldberg,Q6387683
Ken Liu,Q151720
Kevin Fanning,NA
Koduri Viswa Vijayendra Prasad,NA
Kojima Productions,Q2531521
Kyle Mcdonald,NA
Lars Mæhle,Q11983315
Lauren Beukes,Q664673
Lauren McCarthy,Q58303084
Laurent Mignonneau,NA
Laurent Weingart,NA
Lavie Tidhar,Q666468
Lee Bacon,Q95242557
Lee Sang-Yeob,NA
Leigh Whannell,Q471215
Leo Nuñez,Q21003393
Leonardo Selvaggio,NA
Les Levine,Q18023286
Lev Manovich,Q716367
Lexis Numérique,Q15232085
Liam Young,Q18342403
Ligaiya Romero,NA
Logic Artists,Q29578855
Luke Jones,NA
Lynn Hershman Leeson,Q6709060
M.G. Wheaton,NA
Magali Barbe,NA
Magid Jill,NA
manen_lyset,NA
Manetta Berends,NA
Manu Luksch,Q61725713
Marc Lee,Q1892688
Mari Nagem,NA
Maria Takeuchi,NA
Marie Darrieussecq,NA
Mario Klingemann,Q55767529
Mark Sample,NA
Marnix de Nijs,Q28873423
Marshmello,Q26334949
Marta Revuelta,NA
Martha Wells,Q6774606
Martin Backes,Q95894756
Martin Le Chevallier,Q16663547
Marvel,NA
Mary Robinette Kowal,Q4225496
Matt Groening,Q43994
Matthias Murmann,NA
Maureen F. McHugh,Q299933
Maurice Benayoun,Q3300395
Max Dovey,Q98762172
Maxis,Q220317
Megadeath,NA
Melissa Huang,NA
Meltem Şahin,NA
Memo Akten,Q22958352
Michael Schur,NA
Michael Snow,Q558332
Michelle Teran,NA
Mikael Håfström,NA
Mike McMahan,NA
Mike Rianda,NA
Mimi Ọnụọha,NA
Ministry of Broadcast Studio,NA
Molleindustria,Q2545055
Mood Killer,Q110752448
Moritz Stefaner,NA
Morten Tyldum,Q3425142
Mur Lafferty,Q13563022
Muse,Q22151
Mushon Zer-Aviv,Q61483354
Myron Dewey,NA
Nadav Assor,NA
Nakeema Stefflbauer,NA
Nancy Kress,Q238438
Naren Shankar,NA
Nassem Navab,NA
Neal Shusterman,Q6984190
Neal Stephenson,Q312853
Nebojsa Andric,NA
Next Games,NA
Nguyen-Anh Nguyen,Q65115393
Niantic,NA
Nicholas Olivieri,NA
Nick Harkaway,Q1985398
Nicky Case,Q19680180
Nina Bamberg,NA
Nina Borge,NA
Nnedi Okorafor,Q3877423
No Code,NA
Noelle Stevenson,Q21062531
Nora Al-Badri,NA
Nora Isabel Golic,NA
Nouf Aljowaysir,NA
Nushin Isabelle Yazdani,NA
Nye Thompson,NA
Olan Rogers,Q55767418
Omar Naim,Q3351886
Orlov Alexey,NA
Osmotic Studios,Q32860574
Otten Bert,NA
PABL,NA
Paolo Cirio,Q7132173
Paul Muldoon,Q2061388
Pedro Aguilera,Q24928798
Peng!,Q19601646
Peter Baynham,Q7172726
Peter Ramsey,NA
Philipp Käßbohrer,NA
Philippe Fernandez,Q97277398
Philips POV Entertainment,NA
Pierre Mendy,NA
Pisanthanakun Banjong,NA
PlatinumGames,NA
Playgen Ltd,NA
Prafulla Dhariwal,NA
Prokop Bartoníček,NA
Quantic Dream,Q570081
Radamés Ajna,NA
Radiohead,Q44190
RAFAEL LOZANO-HEMMER,NA
Rana Dasgupta,Q7290627
Raquel De Anda,NA
Ratheesh Balakrishnan Poduval,NA
Rebecca Roanhorse,Q56192533
Red Barrels,NA
Rian Johnson,NA
Richard Linklater,Q40035
RIchard Mosse,NA
Ridley Scott,Q56005
Rival Games,Q90405658
Robbie Barrat,NA
Robert Findlay,Q16030835
Robert Kirkman,Q311891
Robert Longo,Q1250139
Robert Rodriguez,NA
Robin Wasserman,Q2159917
Rockstar North,Q94893
Rocksteady Studios,Q2307159
Rodney Rothman,NA
Romi Ron Morrison,NA
Ron Hughart,Q4502677
Rosemary Lee,NA
Ruairi Robinson,NA
Ruben van de Ven,NA
Rupert Sanders,NA
Russel T Davies,NA
Ryan Coogler,Q7383978
Ryan Turner,Q7384602
S.B. Divya,Q99336731
Said Polat,NA
Sam Lavigne,Q93317679
Samanta Schweblin,Q7408607
Samantha Gorman,Q108882642
Sanne Weekers,NA
Sara Lana,NA
Sarah Gailey,Q64748209
Sarah J Maas,NA
Sarah Pinsker,Q28870552
Satô Ikurô,NA
Scott Cawthon,Q19827680
Scott Urban,NA
Seiko Mikami,Q29098468
Serge Bouchardon,Q108883682
Shankar Shanmugam,NA
Shen Yi,NA
SHI Weili,NA
Shin'ichirô Watanabe,NA
Shinseungback Kimyonghun,NA
Shu Lea Cheang,Q3482619
Silvia Ruzanka,NA
Simon Doury,NA
Simone C Niquille,NA
Sofia Crespo,NA
Solveig Suess,Q105821263
Song Han,NA
Sony Computer Entertainment Japan,NA
Sookyun Yang,NA
Sougwen Chung,Q28871477
Sour,NA
Spike Chunsoft,Q7577190
Square Enix,Q207784
Stanley Kubrick,NA
STANZA,NA
Starbreeze Studios,Q2298950
Stavy Dan,NA
Steina Vasulka,Q18920314
Stephen Moffat,NA
Sterling Crispin,NA
Stevan Djordjevic,NA
Steven Spielberg,Q8877
Stewart Sugg,NA
Studio Dragon,Q31180504
Studio Ghibli,Q182950
Sturgill Simpson,Q16736403
Superflux,NA
Suzanne Collins,Q228624
Sylvain Neuvel,Q28092413
Tabita Rezaire,Q54947289
Taika Waititi,Q2388576
Takayuki Todo,NA
Technocrat Games,NA
Ted Anderson,NA
Ted Chiang,Q503095
Tega Brain,Q108569384
Tender Claws,NA
The Farm 51,Q4051069
The Get Out Clause,NA
the-third-person,NA
Thebe Neruda Kgositsile,NA
Theodore Watson,NA
Thiago Hersan,NA
Tim Maughan,NA
Tim Miller,Q19561563
Timm Burckhardt,NA
Tivon Rice,NA
Tlotlo Tsamaase,Q109768606
Tomás Laurenzo,NA
Toril Johannessen,Q17097855
Trevor Paglen,Q7839361
Tyra Banks,NA
Ubisoft,Q188273
Unknown Worlds Entertainment,Q3022081
unmake lab,NA
Usher Raymond IV,NA
Valve,NA
Varun Nair,NA
Vavarella Emilio,NA
Veronique Ducharme,NA
Victor Fresco,Q7925905
Victoria Aveyard,Q21066751
Wachowski Sisters,NA
Waltz Binaire,NA
Warm Lamp Games,NA
Warren Ellis,Q540787
Weiyi Li,NA
Wes Anderson,Q223687
Wes Archer,Q3120735
William Gibson,Q188987
Wu Tiancheng,NA
Yao Wang,NA
Yonlay Cabrera,NA
Yû Irie,NA
Yudhanjaya Wijeratne,Q61771325
Yufeng Deng,NA
Yvette King,NA
Zach Blas,Q28132547
Zach Lipovsky,Q8063816
Zaster,NA
Zhengren Chen,NA
Zhengyang Zhou,NA
Zuzana Husárová,NA
