Character,ID,Race/ethnicity,"Race/ethnicity ID",Gender,"Gender ID",Species,"Species ID",Age,"Age ID",Sexuality,"Sexuality ID"
"Red Girls",2733,White,2000216,Non-binary/Other,2000150,Machine,2000220,Child,2000224,"Unknown/not applicable",20001506
9S,2731,White,2000216,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Natali Kuroshenko",2730,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Homosexual,20001199
"Corporal Mandy Bale",2728,"Person of colour",2000215,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Captain Leo",2725,Black,2000310,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Lt. Thomas Harp",2724,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Daniel Lyons",2720,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Homosexual,20001199
South,2718,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Chloe,2713,White,2000216,Female,2000148,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
"William Daniels",2708,Indigenous,2000214,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
Oz,2699,Asian,2000323,Male,2000149,Cyborg,2000221,Adult,2000227,"Unknown/not applicable",20001506
"Jim Compagnoni",2698,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"The Boy",2692,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,Child,2000224,"Unknown/not applicable",20001506
"The Man",2691,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Alex Neville",2685,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
Shelly,2681,"Unknown/not applicable",2000217,Female,2000148,Animal,2000222,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Unknown hacker (Hyper reality)",2680,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Juliana Restrepo",2678,"Person of colour",2000215,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Amber,2674,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
Daniel,2673,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Krissana Khongtip",2669,Asian,2000323,Female,2000148,Cyborg,2000221,Adult,2000227,Homosexual,20001199
"Orfea Leung",2668,Asian,2000323,Female,2000148,Human,2000219,Adult,2000227,Homosexual,20001199
Louisa,2662,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Max robot",2661,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Nigel,2660,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
Pig,2658,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Animal,2000222,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Hungry Man",2656,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Garm Galtung (Utbryterne)",2653,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Noah (Utbryterne)",2641,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,Heterosexual,2000999
"Unnamed technician (Gnomon)",2639,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"""Incubus""",2636,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Mielikki Neith (Gnomon)",2634,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Diana Hunter (Gnomon)",2633,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
"Carla (Utbryterne)",2640,"Person of colour",2000215,Female,2000148,Human,2000219,"Young adult",2000225,Heterosexual,2000999
"Scary Skull Cyborg",2629,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Cyborg,2000221,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"""Megadeath""",2627,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Light Hope",2623,"Unknown/not applicable",2000217,Female,2000148,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
Catra,2621,"Unknown/not applicable",2000217,Female,2000148,"Fictional species",2000223,Adult,2000227,"Unknown/not applicable",20001506
"Michael de Santa",2616,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"The Princesses",2610,"Unknown/not applicable",2000217,Female,2000148,"Fictional species",2000223,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"The Horde",2609,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,"Unknown/Not applicable",20001917,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
She-Ra/Adora,2608,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Donna Hawthorne",2604,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Fred (undercover cop)",2603,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Bob Arctor",2600,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Go Nan-do",2596,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Go Yoo-jin",2591,Asian,2000323,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Superintelligence,2589,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Carol,2588,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"User 2 (DOOR and BOX)",2584,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"User 1 (DOOR and BOX)",2583,"Person of colour",2000215,Female,2000148,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
Mitchell,2572,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Amazon Mechanical Turk worker (Lacework)",2568,,,,,Human,2000219,Adult,2000227,,
"Han So-Yeon",2563,Asian,2000323,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Holo,2562,Asian,2000323,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
Father,2560,Black,2000310,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
Otho,2558,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Tempest,2557,Black,2000310,Female,2000148,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Campion Sturges",2550,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Rudolf Blodstrupmoen",2548,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Reodor Felgen",2547,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Adrian Griffin",2540,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Cecilia Kass",2539,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Strangers (Digital Skin)",2534,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Atari,2530,Asian,2000323,Male,2000149,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
Ursula,2522,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
Ben,2517,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,Heterosexual,2000999
"Enemies (Raised by Wolves)",2515,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Children (Raised by Wolves)",2514,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
"Cutter Colby",2511,Black,2000310,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Lucky 13",2510,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Thug (Cyberpunk 2077)",2509,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Holographic Fight Host",2507,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Suzy,2504,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Valin Hess",2501,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Migs Mayfield",2500,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Din Djarin",2499,Multiple/complex,2000324,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Box robot (Love, Death & Robots)",2497,"Unknown/not applicable",2000217,Female,2000148,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Small robot (Love, Death & Robots)",2496,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Humanoid robot (Love, Death & Robots)",2495,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Life coach (Cyberpunk 2077)",2494,Asian,2000323,Male,2000149,"Unknown/Not applicable",20001917,Adult,2000227,"Unknown/not applicable",20001506
"Wu Lo (Bouvetøya 2052)",2486,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Julian Makowski (Bouvetøya 2052)",2483,White,2000216,Male,2000149,Human,2000219,Child,2000224,,
"Armin (Bouvetøya 2052)",2479,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Grol (Bouvetøya 2052)",2478,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Viktor,2474,White,2000216,Male,2000149,Cyborg,2000221,Adult,2000227,"Unknown/not applicable",20001506
V,2473,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Cyborg,2000221,Adult,2000227,"Unknown/not applicable",20001506
"Emma human",2467,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
XR_935,2464,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Elders (... som duften av en drøm)",2461,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
"Reader (... som duften av en drøm)",2460,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Hologram lady (Too much)",2452,Black,2000310,Female,2000148,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"""Marshmello""",2451,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"""Usher""",2450,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Katarina Berg",2445,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Guard (Rugal)",2439,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Bradley,2435,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Dust,2430,Multiple/complex,2000324,"Unknown/Not applicable",2000151,"Fictional species",2000223,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Mary Malone",2429,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Lyra Silvertongue",2428,White,2000216,Female,2000148,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Alex Kamal",2421,Multiple/complex,2000324,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Josephus Miller",2420,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Amos Burton",2419,White,2000216,Male,2000149,Human,2000219,Adult,2000227,,
"Naomi Nagata",2414,Multiple/complex,2000324,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Three high-school aged girls (The Fall)",2407,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,"Young adult",2000225,,
"Sophia (Fall)",2404,Black,2000310,Female,2000148,Human,2000219,Adult,2000227,,
Subramanian,2400,Asian,2000323,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Bhaskara Poduva",2399,Asian,2000323,Male,2000149,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
Kunjappan,2398,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Srivalli's little brother",2394,Asian,2000323,Male,2000149,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
Verma,2392,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Srivalli,2391,Asian,2000323,Female,2000148,Human,2000219,Adult,2000227,Bi-sexual,20001174
"The Physiologist (Cosmodrama)",2380,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Bi-sexual,20001174
"Monkey (Cosmodrama)",2379,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Animal,2000222,Adult,2000227,"Unknown/not applicable",20001506
"Psychologist (Cosmodrama)",2376,White,2000216,Male,2000149,Human,2000219,Adult,2000227,,
"La femme des ondes/ the woman from the waves (Cosmodrama)",2375,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Astronomer (Cosmodrama)",2374,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
"Reporter (Cosmodrama)",2373,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Pakshi Rajan/Birds",2369,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,"Fictional species",2000223,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Chitti the robot",2365,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,Adult,2000227,Heterosexual,2000999
"Nila the robot",2364,"Unknown/not applicable",2000217,Female,2000148,Machine,2000220,Adult,2000227,Heterosexual,2000999
"Dr. Vaseegaran",2363,Asian,2000323,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Gabriela,2357,"Person of colour",2000215,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Grandmaster,2353,White,2000216,Male,2000149,"Fictional species",2000223,Elderly,2000226,"Unknown/not applicable",20001506
Thor,2352,White,2000216,Male,2000149,"Fictional species",2000223,Adult,2000227,Heterosexual,2000999
"Virtual friends (Best friend)",2349,,,,,Machine,2000220,,,,
"Homeless man (Best friend)",2348,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
"Camille (Best friend)",2347,White,2000216,Female,2000148,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Arthur (Best Friend)",2346,White,2000216,Male,2000149,Human,2000219,Adult,2000227,,
"S.H.I.E.L.D. agents",2337,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Hawkeye,2335,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
Loki,2334,White,2000216,Male,2000149,"Fictional species",2000223,Adult,2000227,"Unknown/not applicable",20001506
"Agent Phil Coulson",2331,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"David 8",2328,White,2000216,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
"Peter Weyland",2324,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
"Space station/ship crew members",2319,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Dr. Elizabeth Shaw",2318,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"The Engineers (Prometheus)",2314,"Unknown/not applicable",2000217,Male,2000149,"Fictional species",2000223,Adult,2000227,"Unknown/not applicable",20001506
Cutter,2313,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Batou,2312,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Major,2311,White,2000216,Female,2000148,Cyborg,2000221,Adult,2000227,"Unknown/not applicable",20001506
"Dr. Ryan Stone",2308,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Nurse Gerhad",2303,Black,2000310,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Dr. Dyson Ido",2302,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,Heterosexual,2000999
Alita,2301,White,2000216,Female,2000148,Cyborg,2000221,Adult,2000227,Heterosexual,2000999
Edit,2293,White,2000216,Female,2000148,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Sleeping crew members (2001: A Space Odyssey)",2285,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
HAL,2280,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"Dr. Frank Poole",2279,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Dr. David Bowman",2278,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Dr. Floyd's daughter",2274,White,2000216,Female,2000148,Human,2000219,Child,2000224,"Unknown/not applicable",20001506
"Dr. Heywood Floyd",2273,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Gus Mancuso",2264,Black,2000310,Male,2000149,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
"Aurora Lane",2263,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Jim Preston",2262,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
Scavengers,2256,,,,,Human,2000219,,,,
"Victoria “Vika” Olsen",2254,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Jack Harper",2253,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Annotator (Suspicious Behavior)",2245,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,Adult,2000227,,
"Moritz Zimmermann",2235,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,Heterosexual,2000999
"Paul Vanhove",2228,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Esther Vanhove",2227,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"WeUs pillform technology",2219,,,,,Machine,2000220,,,,
Keaboka,2218,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Sentinel (The Matrix)",2216,,,,,Machine,2000220,,,,
"Agents (sentient programs)",2213,,,,,Machine,2000220,,,,
"Narrator (Behind our irises)",2212,Black,2000310,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"crew (Six Wakes)",2210,Multiple/complex,2000324,,,Human,2000219,Adult,2000227,,
IAN,2209,Asian,2000323,Male,2000149,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
Aline,2202,"Person of colour",2000215,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Ezequiel,2201,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Balem Abrasax",2200,White,2000216,Male,2000149,"Fictional species",2000223,,,,
"Peter B. Parker",2192,White,2000216,Male,2000149,Human,2000219,Adult,2000227,,
"Professor X",2187,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Sentinels (X-Men: Days of Future Past)",2183,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Mystique,2181,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Lando Calrissian",2179,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Rose Tico",2177,Asian,2000323,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Captain Canady",2173,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"General Hux",2172,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
C-3PO,2164,"Unknown/not applicable",2000217,Non-binary/Other,2000150,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
R2-D2,2163,"Unknown/not applicable",2000217,Non-binary/Other,2000150,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
BB-8,2162,"Unknown/not applicable",2000217,Non-binary/Other,2000150,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Snoke,2161,White,2000216,Male,2000149,"Fictional species",2000223,Elderly,2000226,"Unknown/not applicable",20001506
"Luke Skywalker",2160,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,Heterosexual,2000999
"Leia Skywalker Organa Solo",2159,White,2000216,Female,2000148,Human,2000219,Elderly,2000226,Heterosexual,2000999
"Han Solo",2157,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,Heterosexual,2000999
"Poe Dameron",2156,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
Finn,2155,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Rey Skywalker",2154,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"Alexander Pierce",2150,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Nick Fury",2149,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Amaro,2141,Black,2000310,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Pizza delivery boy (Screenslaver)",2138,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Bob Parr/ Mr. Incredible",2136,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Mindy Park",2130,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Cordelia,2114,"Unknown/not applicable",2000217,Female,2000148,Machine,2000220,Adult,2000227,"Unknown/not applicable",20001506
Mariette,2113,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Joi,2112,White,2000216,Female,2000148,Machine,2000220,Adult,2000227,Heterosexual,2000999
"Starfleet officer Thomas Harewood",2111,Black,2000310,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Alex,2107,White,2000216,Male,2000149,Human,2000219,Adult,2000227,,
Helena,2106,White,2000216,Female,2000148,Human,2000219,Adult,2000227,,
